"yearsBP","annual65N","annualGlobal","globalCosWeighted","Title","Source","yearsElapsed"
754000,216.65,291.04,340.444,"","",4599246000
753900,216.74,291.06,340.445,"","",4599246100
753800,216.83,291.08,340.446,"","",4599246200
753700,216.91,291.1,340.446,"","",4599246300
753600,216.99,291.11,340.446,"","",4599246400
753500,217.08,291.13,340.446,"","",4599246500
753400,217.16,291.15,340.446,"","",4599246600
753300,217.24,291.17,340.446,"","",4599246700
753200,217.32,291.19,340.447,"","",4599246800
753100,217.41,291.2,340.447,"","",4599246900
753000,217.49,291.22,340.447,"","",4599247000
752900,217.57,291.24,340.447,"","",4599247100
752800,217.63,291.26,340.447,"","",4599247200
752700,217.69,291.28,340.447,"","",4599247300
752600,217.75,291.3,340.447,"","",4599247400
752500,217.81,291.31,340.447,"","",4599247500
752400,217.87,291.33,340.446,"","",4599247600
752300,217.94,291.35,340.446,"","",4599247700
752200,218,291.37,340.446,"","",4599247800
752100,218.06,291.39,340.446,"","",4599247900
752000,218.12,291.41,340.446,"","",4599248000
751900,218.18,291.42,340.446,"","",4599248100
751800,218.21,291.44,340.445,"","",4599248200
751700,218.23,291.46,340.445,"","",4599248300
751600,218.26,291.47,340.444,"","",4599248400
751500,218.29,291.49,340.443,"","",4599248500
751400,218.32,291.51,340.443,"","",4599248600
751300,218.35,291.53,340.442,"","",4599248700
751200,218.37,291.54,340.441,"","",4599248800
751100,218.4,291.56,340.441,"","",4599248900
751000,218.43,291.58,340.44,"","",4599249000
750900,218.46,291.59,340.439,"","",4599249100
750800,218.45,291.61,340.436,"","",4599249200
750700,218.44,291.62,340.433,"","",4599249300
750600,218.43,291.63,340.43,"","",4599249400
750500,218.42,291.64,340.426,"","",4599249500
750400,218.41,291.66,340.423,"","",4599249600
750300,218.4,291.67,340.42,"","",4599249700
750200,218.39,291.68,340.416,"","",4599249800
750100,218.38,291.7,340.413,"","",4599249900
750000,218.37,291.71,340.41,"","",4599250000
749900,218.36,291.72,340.406,"","",4599250100
749800,218.34,291.74,340.411,"","",4599250200
749700,218.33,291.76,340.415,"","",4599250300
749600,218.31,291.78,340.42,"","",4599250400
749500,218.29,291.79,340.424,"","",4599250500
749400,218.28,291.81,340.429,"","",4599250600
749300,218.26,291.83,340.433,"","",4599250700
749200,218.25,291.85,340.438,"","",4599250800
749100,218.23,291.87,340.442,"","",4599250900
749000,218.21,291.89,340.447,"","",4599251000
748900,218.2,291.91,340.451,"","",4599251100
748800,218.16,291.92,340.451,"","",4599251200
748700,218.11,291.93,340.451,"","",4599251300
748600,218.07,291.94,340.451,"","",4599251400
748500,218.03,291.96,340.452,"","",4599251500
748400,217.99,291.97,340.452,"","",4599251600
748300,217.94,291.98,340.452,"","",4599251700
748200,217.9,291.99,340.452,"","",4599251800
748100,217.86,292.01,340.452,"","",4599251900
748000,217.82,292.02,340.452,"","",4599252000
747900,217.77,292.03,340.452,"","",4599252100
747800,217.73,292.04,340.455,"","",4599252200
747700,217.69,292.06,340.459,"","",4599252300
747600,217.65,292.07,340.463,"","",4599252400
747500,217.6,292.09,340.467,"","",4599252500
747400,217.56,292.1,340.47,"","",4599252600
747300,217.52,292.11,340.474,"","",4599252700
747200,217.48,292.13,340.478,"","",4599252800
747100,217.43,292.14,340.482,"","",4599252900
747000,217.39,292.16,340.485,"","",4599253000
746900,217.35,292.17,340.489,"","",4599253100
746800,217.3,292.18,340.489,"","",4599253200
746700,217.25,292.19,340.488,"","",4599253300
746600,217.2,292.19,340.487,"","",4599253400
746500,217.16,292.2,340.487,"","",4599253500
746400,217.11,292.21,340.486,"","",4599253600
746300,217.06,292.22,340.485,"","",4599253700
746200,217.01,292.22,340.485,"","",4599253800
746100,216.96,292.23,340.484,"","",4599253900
746000,216.91,292.24,340.483,"","",4599254000
745900,216.87,292.25,340.483,"","",4599254100
745800,216.83,292.25,340.484,"","",4599254200
745700,216.8,292.26,340.485,"","",4599254300
745600,216.76,292.26,340.485,"","",4599254400
745500,216.73,292.27,340.486,"","",4599254500
745400,216.69,292.27,340.487,"","",4599254600
745300,216.66,292.28,340.488,"","",4599254700
745200,216.63,292.28,340.489,"","",4599254800
745100,216.59,292.29,340.49,"","",4599254900
745000,216.56,292.3,340.491,"","",4599255000
744900,216.52,292.3,340.492,"","",4599255100
744800,216.52,292.3,340.492,"","",4599255200
744700,216.51,292.31,340.491,"","",4599255300
744600,216.5,292.31,340.491,"","",4599255400
744500,216.5,292.31,340.49,"","",4599255500
744400,216.49,292.32,340.49,"","",4599255600
744300,216.49,292.32,340.49,"","",4599255700
744200,216.48,292.32,340.489,"","",4599255800
744100,216.47,292.33,340.489,"","",4599255900
744000,216.47,292.33,340.489,"","",4599256000
743900,216.46,292.33,340.488,"","",4599256100
743800,216.48,292.34,340.493,"","",4599256200
743700,216.49,292.34,340.497,"","",4599256300
743600,216.51,292.34,340.501,"","",4599256400
743500,216.53,292.34,340.506,"","",4599256500
743400,216.54,292.35,340.51,"","",4599256600
743300,216.56,292.35,340.514,"","",4599256700
743200,216.57,292.35,340.518,"","",4599256800
743100,216.59,292.35,340.523,"","",4599256900
743000,216.61,292.36,340.527,"","",4599257000
742900,216.62,292.36,340.531,"","",4599257100
742800,216.67,292.36,340.535,"","",4599257200
742700,216.71,292.36,340.538,"","",4599257300
742600,216.76,292.36,340.541,"","",4599257400
742500,216.8,292.36,340.544,"","",4599257500
742400,216.85,292.36,340.548,"","",4599257600
742300,216.89,292.36,340.551,"","",4599257700
742200,216.93,292.36,340.554,"","",4599257800
742100,216.98,292.36,340.558,"","",4599257900
742000,217.02,292.36,340.561,"","",4599258000
741900,217.07,292.36,340.564,"","",4599258100
741800,217.13,292.35,340.563,"","",4599258200
741700,217.2,292.34,340.562,"","",4599258300
741600,217.27,292.34,340.562,"","",4599258400
741500,217.33,292.33,340.561,"","",4599258500
741400,217.4,292.32,340.56,"","",4599258600
741300,217.47,292.32,340.559,"","",4599258700
741200,217.53,292.31,340.558,"","",4599258800
741100,217.6,292.3,340.557,"","",4599258900
741000,217.67,292.3,340.557,"","",4599259000
740900,217.73,292.29,340.556,"","",4599259100
740800,217.82,292.29,340.558,"","",4599259200
740700,217.91,292.28,340.559,"","",4599259300
740600,218,292.27,340.561,"","",4599259400
740500,218.09,292.27,340.563,"","",4599259500
740400,218.18,292.26,340.565,"","",4599259600
