Structure.Name,Age_Ma,Original_column,Diameter_km,Location,Reference,yearsElapsed
Rochechouart,201,201 ± 2,23,France,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.40E+09
Manicouagan,214,214 ± 1,85,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.39E+09
Saint Martin,220,220 ± 32,40,"Manitoba, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.38E+09
Karikkoselkä,230,~ 230,1.5,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.37E+09
Gow,250,< 250,5,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.35E+09
Kursk,250,250 ± 80,6,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.35E+09
Suvasvesi S,250,~ 250,3.8,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.35E+09
Araguainha,254.7,254.7 ± 2.5,40,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4345300000
Des Plaines,280,< 280,8,"Illinois, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.32E+09
Ternovka,280,280 ± 10,11,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.32E+09
Clearwater West,290,290 ± 20,36,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.31E+09
Dobele,290,290 ± 35,4.5,Latvia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.31E+09
Decaturville,300,< 300,6,"Missouri, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.30E+09
Ile Rouleau,300,< 300,4,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.30E+09
Middlesboro,300,< 300,6,"Kentucky, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.30E+09
Mishina Gora,300,300 ± 50,2.5,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.30E+09
Serra da Cangalha,300,< 300,12,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.30E+09
Crooked Creek,320,320 ± 80,7,"Missouri, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.28E+09
Serpent Mound,320,< 320,8,"Ohio, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.28E+09
Charlevoix,342,342 ± 15,54,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.26E+09
Aorounga,345,< 345,12.6,Chad,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.26E+09
Gweni-Fada,345,< 345,14,"Chad, Africa",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.26E+09
West Hawk,351,351 ± 20,2.44,"Manitoba, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.25E+09
Flynn Creek,360,360 ± 20,3.8,"Tennessee, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.24E+09
Piccaninny,360,< 360,7,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.24E+09
Woodleigh,364,364 ± 8,40,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.24E+09
Siljan,376.8,376.8 ± 1.7,52,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4223200000
Ilyinets,378,378 ± 5,8.5,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.22E+09
