The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Solar flux 10.7 cm, sunspots and cosmic rays - composite",,,,
Reference, Ottowa/Penticton,,,,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsolarradio.html#qbsa,,,,
,,Solar flux,Sunspots,Minus Cosmic radiation,Cosmic radiation
1996,6,718,11.8,-4199,4199
1996,7,735,8.2,-4203,4203
1996,8,742,14.4,-4196,4196
1996,9,701,1.6,-4212,4212
1996,10,687,0.9,-4192,4192
1996,11,769,17.9,-4180,4180
1996,12,753,13.3,-4199,4199
1997,1,716,5.7,-4221,4221
1997,2,720,7.6,-4241,4241
1997,3,728,8.7,-4227,4227
1997,4,750,15.5,-4223,4223
1997,5,763,18.5,-4268,4268
1997,6,740,12.7,-4281,4281
1997,7,734,10.4,-4268,4268
1997,8,810,24.4,-4290,4290
1997,9,972,51.3,-4278,4278
1997,10,843,23.8,-4260,4260
1997,11,974,39,-4255,4255
1997,12,957,41.2,-4265,4265
1998,1,904,31.9,-4270,4270
1998,2,911,40.3,-4290,4290
1998,3,1080,54.8,-4291,4291
1998,4,1090,53.4,-4160,4160
1998,5,1090,56.3,-4087,4087
1998,6,1118,70.7,-4116,4116
1998,7,1177,66.6,-4142,4142
1998,8,1394,92.2,-4107,4107
1998,9,1398,92.9,-4141,4141
1998,10,1166,55.5,-4212,4212
1998,11,1371,74,-4175,4175
1998,12,1455,81.9,-4133,4133
1999,1,1381,62,-4056,4056
1999,2,1386,66.3,-4040,4040
1999,3,1249,68.8,-4057,4057
1999,4,1180,63.7,-4083,4083
1999,5,1519,106.4,-4050,4050
1999,6,1752,137.7,-4106,4106
1999,7,1710,113.5,-4133,4133
1999,8,1750,93.7,-4031,4031
1999,9,1372,71.5,-3953,3953
1999,10,1637,116.7,-3899,3899
1999,11,1874,133.2,-3870,3870
1999,12,1645,84.6,-3840,3840
2000,1,1531,90.1,-3855,3855
2000,2,1691,112.9,-3822,3822
2000,3,2061,138.5,-3748,3748
