years_before_present,temp_anomaly_C,reference
-1222,-0.28,
-1221,-0.37,
-1220,-0.34,
-1219,-0.31,
-1218,-0.27,
-1217,-0.22,
-1216,-0.25,
-1215,-0.23,
-1214,-0.2,
-1213,-0.26,
-1212,-0.48,
-1211,-0.7,
-1210,-0.59,
-1209,-0.33,
-1208,-0.26,
-1207,-0.4,
-1206,-0.5,
-1205,-0.43,
-1204,-0.46,
-1203,-0.62,
-1202,-0.6,
-1201,-0.36,
-1200,-0.09,
-1199,0.07,
-1198,0.04,
-1197,-0.08,
-1196,-0.23,
-1195,-0.36,
-1194,-0.35,
-1193,-0.25,
-1192,-0.2,
-1191,-0.25,
-1190,-0.24,
-1189,-0.13,
-1188,-0.02,
-1187,0.03,
-1186,0.01,
-1185,-0.03,
-1184,-0.06,
-1183,-0.06,
-1182,-0.07,
-1181,-0.1,
-1180,-0.14,
-1179,-0.08,
-1178,0.13,
-1177,0.22,
-1176,0.08,
-1175,-0.1,
-1174,-0.2,
-1173,-0.26,
-1172,-0.2,
-1171,-0.16,
-1170,-0.22,
-1169,-0.23,
-1168,-0.22,
-1167,-0.27,
-1166,-0.33,
-1165,-0.34,
-1164,-0.25,
-1163,-0.07,
-1162,0.01,
-1161,-0.09,
-1160,-0.24,
-1159,-0.29,
-1158,-0.23,
-1157,-0.15,
-1156,-0.21,
-1155,-0.36,
-1154,-0.43,
-1153,-0.48,
-1152,-0.45,
-1151,-0.28,
-1150,-0.16,
-1149,-0.2,
-1148,-0.23,
-1147,-0.16,
-1146,-0.08,
-1145,-0.01,
-1144,0,
-1143,-0.05,
-1142,-0.04,
-1141,0.02,
-1140,0.04,
-1139,0.05,
-1138,-0.07,
-1137,-0.3,
-1136,-0.33,
-1135,-0.17,
-1134,-0.12,
-1133,-0.15,
-1132,-0.12,
-1131,-0.09,
-1130,0,
-1129,0.12,
-1128,0.18,
-1127,0.17,
-1126,0.2,
-1125,0.32,
-1124,0.46,
-1123,0.4,
-1122,0.17,
-1121,-0.05,
-1120,-0.18,
-1119,-0.23,
-1118,-0.29,
-1117,-0.39,
-1116,-0.4,
-1115,-0.35,
-1114,-0.41,
-1113,-0.45,
-1112,-0.35,
-1111,-0.27,
-1110,-0.27,
-1109,-0.27,
-1108,-0.31,
-1107,-0.35,
-1106,-0.3,
-1105,-0.2,
-1104,-0.08,
-1103,0,
-1102,-0.14,
-1101,-0.35,
-1100,-0.36,
-1099,-0.23,
-1098,-0.28,
-1097,-0.47,
-1096,-0.53,
-1095,-0.36,
-1094,-0.18,
-1093,-0.11,
-1092,-0.09,
-1091,-0.14,
-1090,-0.22,
-1089,-0.25,
-1088,-0.22,
-1087,-0.13,
-1086,-0.05,
-1085,0,
-1084,0.1,
-1083,0.13,
-1082,-0.01,
-1081,-0.05,
-1080,0.05,
-1079,0.05,
-1078,-0.11,
-1077,-0.24,
-1076,-0.29,
-1075,-0.23,
-1074,-0.18,
-1073,-0.2,
-1072,-0.2,
-1071,-0.16,
-1070,-0.12,
-1069,-0.15,
-1068,-0.2,
