Title,Oceanic Nino Index,,,
Reference,"NOAA, National Weather Service, Climate Prediction Center",,,
URL,http://www.cpc.noaa.gov/products/analysis_monitoring/ensostuff/ensoyears.shtml,,,
Missing,-999.9,,,
Date,Year,Index,Positive index,Negative index
Sep-96,1996.708,-0.1,0,-0.1
Oct-96,1996.792,-0.2,0,-0.2
Nov-96,1996.875,-0.3,0,-0.3
Dec-96,1996.958,-0.4,0,-0.4
Jan-97,1997.042,-0.4,0,-0.4
Feb-97,1997.125,-0.3,0,-0.3
Mar-97,1997.208,0,0,0
Apr-97,1997.292,0.4,0.4,0
May-97,1997.375,0.8,0.8,0
Jun-97,1997.458,1.3,1.3,0
Jul-97,1997.542,1.7,1.7,0
Aug-97,1997.625,2,2,0
Sep-97,1997.708,2.2,2.2,0
Oct-97,1997.792,2.4,2.4,0
Nov-97,1997.875,2.5,2.5,0
Dec-97,1997.958,2.5,2.5,0
Jan-98,1998.042,2.3,2.3,0
Feb-98,1998.125,1.9,1.9,0
Mar-98,1998.208,1.5,1.5,0
Apr-98,1998.292,1,1,0
May-98,1998.375,0.5,0.5,0
Jun-98,1998.458,0,0,0
Jul-98,1998.542,-0.5,0,-0.5
Aug-98,1998.625,-0.8,0,-0.8
Sep-98,1998.708,-1,0,-1
Oct-98,1998.792,-1.1,0,-1.1
Nov-98,1998.875,-1.3,0,-1.3
Dec-98,1998.958,-1.4,0,-1.4
Jan-99,1999.042,-1.4,0,-1.4
Feb-99,1999.125,-1.2,0,-1.2
Mar-99,1999.208,-0.9,0,-0.9
Apr-99,1999.292,-0.8,0,-0.8
May-99,1999.375,-0.8,0,-0.8
Jun-99,1999.458,-0.8,0,-0.8
Jul-99,1999.542,-0.9,0,-0.9
Aug-99,1999.625,-0.9,0,-0.9
Sep-99,1999.708,-1,0,-1
Oct-99,1999.792,-1.1,0,-1.1
Nov-99,1999.875,-1.3,0,-1.3
Dec-99,1999.958,-1.6,0,-1.6
Jan-00,2000.042,-1.6,0,-1.6
Feb-00,2000.125,-1.4,0,-1.4
Mar-00,2000.208,-1,0,-1
Apr-00,2000.292,-0.8,0,-0.8
May-00,2000.375,-0.6,0,-0.6
Jun-00,2000.458,-0.5,0,-0.5
Jul-00,2000.542,-0.4,0,-0.4
Aug-00,2000.625,-0.4,0,-0.4
Sep-00,2000.708,-0.4,0,-0.4
Oct-00,2000.792,-0.5,0,-0.5
Nov-00,2000.875,-0.6,0,-0.6
Dec-00,2000.958,-0.7,0,-0.7
Jan-01,2001.042,-0.6,0,-0.6
Feb-01,2001.125,-0.5,0,-0.5
Mar-01,2001.208,-0.4,0,-0.4
Apr-01,2001.292,-0.2,0,-0.2
May-01,2001.375,-0.1,0,-0.1
Jun-01,2001.458,0.1,0.1,0
Jul-01,2001.542,0.2,0.2,0
Aug-01,2001.625,0.2,0.2,0
Sep-01,2001.708,0.1,0.1,0
Oct-01,2001.792,0,0,0
