The copyright to the intellectual property of this file is held by www.climatedata.info,,,,,,
Title,Milankovitch radiation for different latitudes and time periods,,,,,
Source:,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,,,,
Average of 60 and 70 N,,,,,,
BP,Months  7to 7,Annual 65N,Annual global,BP,BP,Global cos-weighted
-767800,447.06,217.72,289.89,-479,-479000,340.661
-767700,447.11,217.67,289.88,-478,-478000,340.66
-767600,447.15,217.62,289.88,-477,-477000,340.659
-767500,447.2,217.57,289.88,-476,-476000,340.658
-767400,447.25,217.52,289.87,-475,-475000,340.657
-767300,447.3,217.47,289.87,-474,-474000,340.656
-767200,447.35,217.42,289.86,-473,-473000,340.656
-767100,447.4,217.37,289.86,-472,-472000,340.655
-767000,447.44,217.32,289.85,-471,-471000,340.654
-766900,447.49,217.27,289.85,-470,-470000,340.653
-766800,447.42,217.19,289.85,-469,-469000,340.652
-766700,447.35,217.1,289.84,-468,-468000,340.651
-766600,447.28,217.02,289.84,-467,-467000,340.65
-766500,447.2,216.94,289.84,-466,-466000,340.649
-766400,447.13,216.86,289.84,-465,-465000,340.648
-766300,447.06,216.77,289.84,-464,-464000,340.647
-766200,446.98,216.69,289.83,-463,-463000,340.646
-766100,446.91,216.61,289.83,-462,-462000,340.645
-766000,446.84,216.52,289.83,-461,-461000,340.645
-765900,446.77,216.44,289.83,-460,-460000,340.644
-765800,446.55,216.34,289.83,-459,-459000,340.641
-765700,446.33,216.25,289.83,-458,-458000,340.638
-765600,446.11,216.15,289.83,-457,-457000,340.636
-765500,445.9,216.05,289.82,-456,-456000,340.633
-765400,445.68,215.96,289.82,-455,-455000,340.63
-765300,445.46,215.86,289.82,-454,-454000,340.628
-765200,445.24,215.76,289.82,-453,-453000,340.625
-765100,445.02,215.67,289.82,-452,-452000,340.622
-765000,444.81,215.57,289.82,-451,-451000,340.62
-764900,444.59,215.47,289.82,-450,-450000,340.617
-764800,444.3,215.36,289.82,-449,-449000,340.615
-764700,444.01,215.25,289.82,-448,-448000,340.613
-764600,443.72,215.13,289.82,-447,-447000,340.61
-764500,443.43,215.02,289.83,-446,-446000,340.608
-764400,443.13,214.91,289.83,-445,-445000,340.606
-764300,442.84,214.8,289.83,-444,-444000,340.604
-764200,442.55,214.68,289.83,-443,-443000,340.602
-764100,442.26,214.57,289.83,-442,-442000,340.599
-764000,441.97,214.46,289.83,-441,-441000,340.597
-763900,441.68,214.34,289.83,-440,-440000,340.595
-763800,441.34,214.25,289.84,-439,-439000,340.592
-763700,441,214.15,289.84,-438,-438000,340.589
-763600,440.66,214.06,289.84,-437,-437000,340.586
-763500,440.33,213.96,289.85,-436,-436000,340.583
-763400,439.99,213.87,289.85,-435,-435000,340.58
-763300,439.65,213.77,289.85,-434,-434000,340.577
-763200,439.31,213.68,289.86,-433,-433000,340.574
-763100,438.97,213.58,289.86,-432,-432000,340.571
-763000,438.63,213.49,289.86,-431,-431000,340.568
-762900,438.29,213.39,289.86,-430,-430000,340.565
-762800,437.98,213.32,289.87,-429,-429000,340.564
-762700,437.66,213.24,289.88,-428,-428000,340.563
-762600,437.35,213.16,289.89,-427,-427000,340.561
-762500,437.03,213.09,289.89,-426,-426000,340.56
-762400,436.72,213.01,289.9,-425,-425000,340.559
-762300,436.4,212.93,289.91,-424,-424000,340.558
-762200,436.09,212.86,289.92,-423,-423000,340.556
-762100,435.77,212.78,289.92,-422,-422000,340.555
-762000,435.46,212.7,289.93,-421,-421000,340.554
-761900,435.14,212.63,289.94,-420,-420000,340.553
-761800,434.88,212.58,289.95,-419,-419000,340.55
-761700,434.61,212.54,289.95,-418,-418000,340.548
-761600,434.34,212.49,289.96,-417,-417000,340.545
-761500,434.08,212.44,289.97,-416,-416000,340.543
-761400,433.81,212.4,289.98,-415,-415000,340.54
-761300,433.55,212.35,289.99,-414,-414000,340.538
-761200,433.28,212.3,289.99,-413,-413000,340.535
-761100,433.01,212.26,290,-412,-412000,340.533
-761000,432.75,212.21,290.01,-411,-411000,340.53
-760900,432.48,212.16,290.02,-410,-410000,340.528
-760800,432.31,212.15,290.03,-409,-409000,340.526
-760700,432.14,212.13,290.04,-408,-408000,340.525
-760600,431.97,212.12,290.05,-407,-407000,340.524
-760500,431.8,212.1,290.06,-406,-406000,340.522
-760400,431.63,212.08,290.07,-405,-405000,340.521
-760300,431.46,212.07,290.08,-404,-404000,340.519
-760200,431.29,212.05,290.09,-403,-403000,340.518
-760100,431.12,212.03,290.1,-402,-402000,340.516
-760000,430.95,212.02,290.11,-401,-401000,340.515
-759900,430.78,212,290.12,-400,-400000,340.514
-759800,430.71,212.03,290.13,-399,-399000,340.51
-759700,430.64,212.05,290.14,-398,-398000,340.507
-759600,430.57,212.08,290.16,-397,-397000,340.504
-759500,430.49,212.1,290.17,-396,-396000,340.5
-759400,430.42,212.12,290.18,-395,-395000,340.497
-759300,430.35,212.15,290.19,-394,-394000,340.494
-759200,430.28,212.17,290.2,-393,-393000,340.49
-759100,430.2,212.2,290.21,-392,-392000,340.487
-759000,430.13,212.22,290.22,-391,-391000,340.484
-758900,430.06,212.24,290.24,-390,-390000,340.481
-758800,430.13,212.3,290.25,-389,-389000,340.48
-758700,430.2,212.35,290.26,-388,-388000,340.48
-758600,430.28,212.4,290.28,-387,-387000,340.479
-758500,430.35,212.45,290.29,-386,-386000,340.479
-758400,430.42,212.51,290.31,-385,-385000,340.479
-758300,430.49,212.56,290.32,-384,-384000,340.478
-758200,430.57,212.61,290.33,-383,-383000,340.478
-758100,430.64,212.66,290.35,-382,-382000,340.478
-758000,430.71,212.72,290.36,-381,-381000,340.477
-757900,430.78,212.77,290.38,-380,-380000,340.477
-757800,431,212.86,290.39,-379,-379000,340.477
-757700,431.22,212.95,290.41,-378,-378000,340.477
-757600,431.44,213.05,290.43,-377,-377000,340.477
-757500,431.66,213.14,290.44,-376,-376000,340.477
-757400,431.87,213.23,290.46,-375,-375000,340.477
-757300,432.09,213.33,290.48,-374,-374000,340.477
-757200,432.31,213.42,290.5,-373,-373000,340.477
-757100,432.53,213.51,290.51,-372,-372000,340.477
-757000,432.75,213.6,290.53,-371,-371000,340.477
-756900,432.96,213.7,290.55,-370,-370000,340.477
-756800,433.25,213.8,290.56,-369,-369000,340.474
-756700,433.55,213.9,290.58,-368,-368000,340.471
-756600,433.84,214.01,290.59,-367,-367000,340.468
-756500,434.13,214.11,290.6,-366,-366000,340.465
-756400,434.42,214.21,290.62,-365,-365000,340.462
-756300,434.71,214.31,290.63,-364,-364000,340.459
-756200,435,214.42,290.65,-363,-363000,340.456
-756100,435.29,214.52,290.66,-362,-362000,340.453
-756000,435.58,214.62,290.68,-361,-361000,340.45
-755900,435.87,214.73,290.69,-360,-360000,340.447
-755800,436.23,214.83,290.71,-359,-359000,340.445
-755700,436.6,214.94,290.73,-358,-358000,340.444
-755600,436.96,215.04,290.74,-357,-357000,340.443
-755500,437.32,215.15,290.76,-356,-356000,340.441
-755400,437.69,215.25,290.78,-355,-355000,340.44
-755300,438.05,215.36,290.79,-354,-354000,340.438
-755200,438.41,215.46,290.81,-353,-353000,340.437
-755100,438.78,215.57,290.83,-352,-352000,340.435
-755000,439.14,215.67,290.85,-351,-351000,340.434
-754900,439.5,215.78,290.86,-350,-350000,340.432
-754800,439.91,215.87,290.88,-349,-349000,340.434
-754700,440.33,215.97,290.9,-348,-348000,340.435
-754600,440.74,216.07,290.92,-347,-347000,340.436
-754500,441.15,216.16,290.94,-346,-346000,340.438
-754400,441.56,216.26,290.96,-345,-345000,340.439
-754300,441.97,216.36,290.98,-344,-344000,340.44
-754200,442.38,216.45,291,-343,-343000,340.441
-754100,442.8,216.55,291.02,-342,-342000,340.443
-754000,443.21,216.65,291.04,-341,-341000,340.444
-753900,443.62,216.74,291.06,-340,-340000,340.445
-753800,443.98,216.83,291.08,-339,-339000,340.446
-753700,444.35,216.91,291.1,-338,-338000,340.446
-753600,444.71,216.99,291.11,-337,-337000,340.446
-753500,445.07,217.08,291.13,-336,-336000,340.446
-753400,445.43,217.16,291.15,-335,-335000,340.446
-753300,445.8,217.24,291.17,-334,-334000,340.446
-753200,446.16,217.32,291.19,-333,-333000,340.447
-753100,446.52,217.41,291.2,-332,-332000,340.447
-753000,446.89,217.49,291.22,-331,-331000,340.447
-752900,447.25,217.57,291.24,-330,-330000,340.447
-752800,447.59,217.63,291.26,-329,-329000,340.447
-752700,447.93,217.69,291.28,-328,-328000,340.447
-752600,448.27,217.75,291.3,-327,-327000,340.447
-752500,448.61,217.81,291.31,-326,-326000,340.447
-752400,448.95,217.87,291.33,-325,-325000,340.446
-752300,449.29,217.94,291.35,-324,-324000,340.446
-752200,449.62,218,291.37,-323,-323000,340.446
-752100,449.96,218.06,291.39,-322,-322000,340.446
-752000,450.3,218.12,291.41,-321,-321000,340.446
-751900,450.64,218.18,291.42,-320,-320000,340.446
-751800,450.86,218.21,291.44,-319,-319000,340.445
-751700,451.08,218.23,291.46,-318,-318000,340.445
-751600,451.3,218.26,291.47,-317,-317000,340.444
-751500,451.51,218.29,291.49,-316,-316000,340.443
-751400,451.73,218.32,291.51,-315,-315000,340.443
-751300,451.95,218.35,291.53,-314,-314000,340.442
