The copyright to the intellectual property of this file is held by www.climatedata.info,,,,,,,,,,,
Title: Monthly temperature anomaly (degree Kelvin/Celcius),,,,,,,,,,,
Source: File - hadat2_monthly_global_mean.txt downloaded from - http://hadobs.metoffice.com/hadat/hadat2.html,,,,,,,,,,,
Acknowledgements: to Peter Thorne and Holly Titchner who maintain the site.,,,,,,,,,,,
Year,Month,Year,850hPa,700hPa,500hPa,300hPa,200hPa,150hPa,100hPa,50hPa,30hPa
1972,7,1972.541667,-0.4,-0.3,-0.2,0.1,0.3,0.4,0.3,0.3,-0.3
1972,8,1972.625,-0.1,-0.3,-0.4,-0.3,-0.3,-0.1,-0.1,-0.6,-0.6
1972,9,1972.708333,-0.3,-0.3,0,0,-0.1,0,-0.1,0,-0.2
1972,10,1972.791667,-0.4,-0.2,-0.1,0.1,0,0.2,0.2,-0.3,-0.2
1972,11,1972.875,-0.2,-0.2,-0.2,0,0,0.2,0.4,-0.5,-0.1
1972,12,1972.958333,0,0,-0.1,-0.1,0.1,0.5,0.6,-0.1,-0.1
1973,1,1973.041667,0,0.2,0.4,0.6,0.6,0.4,0.4,-0.3,-0.2
1973,2,1973.125,0.2,0.4,0.4,0.7,0.9,0.9,0.7,-0.9,-0.9
1973,3,1973.208333,0.2,0.3,0.4,0.6,0.7,0.9,0.5,-0.7,-0.4
1973,4,1973.291667,0.1,0.1,0.1,0.3,0.4,0.6,0.5,-0.4,-0.2
1973,5,1973.375,0,-0.1,-0.1,0,0.2,0.4,0.1,-0.4,-0.3
1973,6,1973.458333,0.1,0.1,0.1,0.3,0.2,0.2,-0.2,-0.2,-0.1
1973,7,1973.541667,0,0,0,0.1,0,0.1,-0.1,-0.3,-0.3
1973,8,1973.625,-0.1,-0.1,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2,-0.3
1973,9,1973.708333,-0.1,0,0,0,-0.2,-0.3,-0.4,-0.5,-0.4
1973,10,1973.791667,0,0,0.1,0.1,0,-0.1,-0.3,0.4,0.4
1973,11,1973.875,-0.3,-0.2,-0.2,0.1,0,0,-0.1,0.3,0.6
1973,12,1973.958333,-0.3,-0.3,-0.2,-0.3,-0.4,-0.3,0,0.4,0.2
1974,1,1974.041667,-0.3,-0.3,0,0.1,-0.1,-0.5,-0.3,0.4,0.3
1974,2,1974.125,-0.5,-0.3,-0.2,-0.3,-0.4,-0.8,-0.5,0.7,0.3
1974,3,1974.208333,-0.4,-0.4,-0.3,-0.3,-0.4,-0.5,-0.4,0.5,0.1
1974,4,1974.291667,-0.3,-0.2,-0.3,-0.3,-0.5,-0.5,-0.2,0.2,0
1974,5,1974.375,-0.3,-0.4,-0.5,-0.6,-0.8,-0.7,0,0.3,0
1974,6,1974.458333,-0.3,-0.5,-0.6,-0.7,-0.7,-0.6,-0.1,0.2,0.3
1974,7,1974.541667,-0.2,-0.3,-0.3,-0.6,-0.7,-0.5,-0.2,0.4,-0.1
1974,8,1974.625,-0.2,-0.4,-0.4,-0.5,-0.4,-0.1,-0.2,0.3,-0.2
1974,9,1974.708333,-0.3,-0.3,-0.4,-0.7,-0.7,-0.5,-0.3,-0.7,-0.9
1974,10,1974.791667,-0.2,-0.2,-0.3,-0.2,-0.1,0.1,0,-0.3,-0.2
1974,11,1974.875,-0.2,-0.1,-0.2,-0.2,-0.1,0.1,0.1,-0.1,-0.3
1974,12,1974.958333,-0.2,-0.3,-0.4,-0.5,-0.2,0.1,-0.1,0,-0.2
1975,1,1975.041667,0,-0.1,-0.3,-0.3,0.2,0.3,0,0.4,-0.1
1975,2,1975.125,-0.2,-0.3,-0.3,-0.4,-0.2,0,0.2,0.3,-0.2
1975,3,1975.208333,-0.1,-0.1,-0.2,-0.2,-0.1,-0.2,0,0.2,0.1
1975,4,1975.291667,-0.2,-0.1,-0.1,0.1,0.3,0.3,0.2,0.1,-0.1
1975,5,1975.375,-0.1,-0.2,-0.3,-0.4,0,0.2,0.2,0.2,-0.2
1975,6,1975.458333,-0.1,-0.4,-0.4,-0.4,-0.2,0,0.1,0.3,-0.1
1975,7,1975.541667,-0.1,-0.3,-0.5,-0.6,-0.6,-0.6,0.4,-0.2,-0.3
1975,8,1975.625,-0.4,-0.4,-0.2,-0.2,0,0,0.3,-0.1,-0.7
1975,9,1975.708333,-0.1,-0.1,-0.2,-0.3,-0.1,-0.2,-0.2,-0.6,-0.8
1975,10,1975.791667,-0.3,-0.2,-0.3,-0.2,-0.1,-0.1,-0.5,-0.1,-0.1
1975,11,1975.875,-0.4,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,0.3,0.5
1975,12,1975.958333,-0.6,-0.5,-0.4,-0.2,-0.1,-0.4,-0.2,0.7,0.6
1976,1,1976.041667,-0.5,-0.5,-0.3,-0.4,-0.3,-0.4,-0.5,0.8,0.4
1976,2,1976.125,-0.5,-0.6,-0.6,-0.7,-0.6,-0.6,-0.1,0.6,0.6
1976,3,1976.208333,-0.7,-0.6,-0.7,-0.6,-0.4,-0.5,-0.3,0.6,0.4
1976,4,1976.291667,-0.5,-0.5,-0.5,-0.7,-0.4,-0.3,-0.2,0.6,0.1
1976,5,1976.375,-0.5,-0.5,-0.5,-0.6,-0.4,-0.3,-0.3,0.3,0
1976,6,1976.458333,-0.5,-0.6,-0.6,-0.8,-0.6,-0.7,-0.2,0.3,0.6
1976,7,1976.541667,-0.5,-0.6,-0.6,-0.7,-0.6,-0.4,-0.2,0.1,0.2
