Age_Ma,pCO2_probability_maximum,lw95_percent,lw68_percent,up68_percent,up95_percent
248.5,668.76,-34,306.47,1102.66,1491.73
249,691.14,-32.59,326.08,1167.76,1592.9
249.5,738.91,-22.34,345.68,1215.13,1635.85
250,772.38,2.59,365.21,1248.69,1668.2
250.5,769.71,20.61,397.28,1283.43,1693.62
251,825.97,37.7,419.58,1329.46,1730.1
251.5,856.75,30.89,443.4,1378.51,1754.5
252,878.74,41.2,461.75,1420.36,1790
252.5,871.56,64.37,466.74,1429.52,1839.21
253,856.32,83.05,461.01,1428.29,1824.79
253.5,865.39,74.21,457.74,1402.08,1823.61
254,868.96,71.52,455.64,1381.52,1763.62
254.5,856.25,44.35,433.03,1327.19,1715.23
255,849.85,22.56,420.21,1300.54,1680.77
255.5,844.34,8.43,397.56,1269.26,1657.02
256,810.9,-19.43,365.55,1233.76,1619.93
256.5,778.24,-41.66,347.34,1178.35,1550.92
257,727.6,-48.48,315.69,1115.07,1466.66
257.5,677.85,-40.65,274.55,1040.7,1386.85
258,637.31,-54.76,245.43,977.51,1294.66
258.5,610.69,-57.83,217.16,909.75,1221.11
259,580.34,-75.04,203.91,858.39,1159.68
259.5,562.04,-85.73,188.94,821.53,1119.81
260,535.64,-98.87,174.24,788.71,1071.69
260.5,495.65,-76.99,177.12,748.78,1006.07
261,461.03,-61.09,166.75,711.72,1010.42
261.5,409.91,-76.13,152.07,689.95,1011.73
262,373.08,-84.49,139.01,670.3,1003.75
262.5,352.02,-89.77,124.09,656.64,1008.22
263,344.77,-83.05,122.84,652.95,1015.91
263.5,349.7,-70.32,130.59,655.04,1029.96
264,356.78,-68.52,134.22,650.1,1027.38
264.5,340.11,-57.99,134.5,650.82,1071.67
265,320.41,-40.48,142.16,649.72,1082.38
265.5,322.44,-33.13,145.99,643.1,1087
266,321.19,-21.76,154.51,633.36,1063.24
266.5,316.97,-2.76,158.93,620.91,1019.94
267,308.8,3.07,162.17,598.01,971.32
267.5,306.95,20.94,167.89,584.52,914.38
268,301.88,36.19,175.96,582.15,872.69
268.5,300.75,46.45,176.01,566.84,820.39
269,325.45,48.63,187.04,553.54,793.65
269.5,331.28,58.67,196.33,551.92,771.31
270,325.11,84.71,208.52,550.63,760.28
270.5,351.09,118.21,225.8,552.93,734.61
271,337.61,132.4,241.58,561.93,732.04
271.5,358.78,146.58,253.58,578.86,735.53
272,389.79,152.87,260.73,599.94,745.3
272.5,417.24,159.84,267.82,615.98,765.14
273,443.77,162.19,275.87,634.05,791.52
273.5,432.28,181.29,294.6,652.08,809.1
274,525.87,198.47,314.22,686.75,838.79
274.5,543.87,203.49,332.05,722.2,883.14
275,555.97,211.13,341.56,759.48,915.25
275.5,551.32,221.71,358.23,787.12,941.32
276,560.26,232.19,370.81,806.37,969.52
276.5,571.31,254,389.61,821.43,973
277,583.06,271.05,411.82,819.18,1003.47
277.5,591.36,300.66,423.21,830.02,1024.57
