yearsBP,annual65N,annualGlobal,globalCosWeighted,Title,Source
746100,216.96,292.23,340.484,,
746000,216.91,292.24,340.483,,
745900,216.87,292.25,340.483,,
745800,216.83,292.25,340.484,,
745700,216.8,292.26,340.485,,
745600,216.76,292.26,340.485,,
745500,216.73,292.27,340.486,,
745400,216.69,292.27,340.487,,
745300,216.66,292.28,340.488,,
745200,216.63,292.28,340.489,,
745100,216.59,292.29,340.49,,
745000,216.56,292.3,340.491,,
744900,216.52,292.3,340.492,,
744800,216.52,292.3,340.492,,
744700,216.51,292.31,340.491,,
744600,216.5,292.31,340.491,,
744500,216.5,292.31,340.49,,
744400,216.49,292.32,340.49,,
744300,216.49,292.32,340.49,,
744200,216.48,292.32,340.489,,
744100,216.47,292.33,340.489,,
744000,216.47,292.33,340.489,,
743900,216.46,292.33,340.488,,
743800,216.48,292.34,340.493,,
743700,216.49,292.34,340.497,,
743600,216.51,292.34,340.501,,
743500,216.53,292.34,340.506,,
743400,216.54,292.35,340.51,,
743300,216.56,292.35,340.514,,
743200,216.57,292.35,340.518,,
743100,216.59,292.35,340.523,,
743000,216.61,292.36,340.527,,
742900,216.62,292.36,340.531,,
742800,216.67,292.36,340.535,,
742700,216.71,292.36,340.538,,
742600,216.76,292.36,340.541,,
742500,216.8,292.36,340.544,,
742400,216.85,292.36,340.548,,
742300,216.89,292.36,340.551,,
742200,216.93,292.36,340.554,,
742100,216.98,292.36,340.558,,
742000,217.02,292.36,340.561,,
741900,217.07,292.36,340.564,,
741800,217.13,292.35,340.563,,
741700,217.2,292.34,340.562,,
741600,217.27,292.34,340.562,,
741500,217.33,292.33,340.561,,
741400,217.4,292.32,340.56,,
741300,217.47,292.32,340.559,,
741200,217.53,292.31,340.558,,
741100,217.6,292.3,340.557,,
741000,217.67,292.3,340.557,,
740900,217.73,292.29,340.556,,
740800,217.82,292.29,340.558,,
740700,217.91,292.28,340.559,,
740600,218,292.27,340.561,,
740500,218.09,292.27,340.563,,
740400,218.18,292.26,340.565,,
740300,218.27,292.25,340.566,,
740200,218.35,292.25,340.568,,
740100,218.44,292.24,340.57,,
740000,218.53,292.23,340.571,,
739900,218.62,292.23,340.573,,
739800,218.72,292.22,340.578,,
739700,218.81,292.21,340.582,,
739600,218.91,292.2,340.586,,
739500,219.01,292.19,340.59,,
739400,219.11,292.18,340.595,,
739300,219.2,292.17,340.599,,
739200,219.3,292.17,340.603,,
739100,219.4,292.16,340.608,,
